,MeterKey,DateKey,TimeKey,MeterReading,Source,ApparentTemperature,IsSuspicious,AirTemperature,DewPointTemperature,RelativeHumidity,timestamp
2348,123,20200102,0,8.5,LaTrobe_CSV-orig_20200102000451.csv,14.8,,16.0,9.7,66.0,2020-01-02 00:00:00
2216,123,20200102,1500,8.75,LaTrobe_CSV-orig_20200102004751.csv,,,,,,2020-01-02 00:15:00
2290,123,20200102,3000,8.5,LaTrobe_CSV-orig_20200102004751.csv,15.6,,15.8,10.3,70.0,2020-01-02 00:30:00
1160,123,20200102,4500,9.25,LaTrobe_CSV-orig_20200102004751.csv,,,,,,2020-01-02 00:45:00
2436,123,20200102,10000,9.25,LaTrobe_CSV-orig_20200102010452.csv,14.0,,15.2,10.4,73.0,2020-01-02 01:00:00
777,123,20200102,11500,9.0,LaTrobe_CSV-orig_20200102013451.csv,,,,,,2020-01-02 01:15:00
5146,123,20200102,13000,9.0,LaTrobe_CSV-orig_20200102013451.csv,14.8,,15.0,10.6,75.0,2020-01-02 01:30:00
636,123,20200102,14500,8.75,LaTrobe_CSV-orig_20200102020154.csv,,,,,,2020-01-02 01:45:00
2845,123,20200102,20000,9.0,LaTrobe_CSV-orig_20200102022554.csv,14.8,,14.6,10.4,76.0,2020-01-02 02:00:00
333,123,20200102,21500,9.25,LaTrobe_CSV-orig_20200102022554.csv,,,,,,2020-01-02 02:15:00
740,123,20200102,23000,9.25,LaTrobe_CSV-orig_20200102023252.csv,14.6,,14.4,10.4,77.0,2020-01-02 02:30:00
412,123,20200102,24500,9.25,LaTrobe_CSV-orig_20200102031156.csv,,,,,,2020-01-02 02:45:00
2341,123,20200102,30000,9.25,LaTrobe_CSV-orig_20200102031156.csv,14.2,,14.0,10.4,79.0,2020-01-02 03:00:00
1045,123,20200102,31500,10.0,LaTrobe_CSV-orig_20200102032857.csv,,,,,,2020-01-02 03:15:00
663,123,20200102,33000,10.0,LaTrobe_CSV-orig_20200102034858.csv,13.4,,13.3,10.3,82.0,2020-01-02 03:30:00
5129,123,20200102,34500,9.75,LaTrobe_CSV-orig_20200102034858.csv,,,,,,2020-01-02 03:45:00
776,123,20200102,40000,9.75,LaTrobe_CSV-orig_20200102040454.csv,13.2,,13.1,10.3,83.0,2020-01-02 04:00:00
389,123,20200102,41500,10.5,LaTrobe_CSV-orig_20200102043357.csv,,,,,,2020-01-02 04:15:00
2051,123,20200102,43000,10.25,LaTrobe_CSV-orig_20200102044758.csv,12.7,,12.5,10.4,87.0,2020-01-02 04:30:00
181,123,20200102,44500,10.0,LaTrobe_CSV-orig_20200102044758.csv,,,,,,2020-01-02 04:45:00
2406,123,20200102,50000,10.0,LaTrobe_CSV-orig_20200102053356.csv,12.1,,12.0,10.2,89.0,2020-01-02 05:00:00
125,123,20200102,51500,15.75,LaTrobe_CSV-orig_20200102053356.csv,,,,,,2020-01-02 05:15:00
560,123,20200102,53000,18.0,LaTrobe_CSV-orig_20200102054959.csv,11.7,,11.6,10.3,92.0,2020-01-02 05:30:00
351,123,20200102,54500,17.75,LaTrobe_CSV-orig_20200102054959.csv,,,,,,2020-01-02 05:45:00
2356,123,20200102,60000,17.5,LaTrobe_CSV-orig_20200102060356.csv,11.3,,11.1,10.5,96.0,2020-01-02 06:00:00
5134,123,20200102,61500,18.25,LaTrobe_CSV-orig_20200102061856.csv,,,,,,2020-01-02 06:15:00
2112,123,20200102,63000,19.0,LaTrobe_CSV-orig_20200102070356.csv,10.0,,11.1,9.9,92.0,2020-01-02 06:30:00
1118,123,20200102,64500,19.0,LaTrobe_CSV-orig_20200102070356.csv,,,,,,2020-01-02 06:45:00
941,123,20200102,70000,19.75,LaTrobe_CSV-orig_20200102072057.csv,11.3,,11.7,9.6,87.0,2020-01-02 07:00:00
2607,123,20200102,71500,20.0,LaTrobe_CSV-orig_20200102073157.csv,,,,,,2020-01-02 07:15:00
54,123,20200102,73000,19.25,LaTrobe_CSV-orig_20200102074856.csv,11.7,,12.8,10.0,83.0,2020-01-02 07:30:00
431,123,20200102,74500,19.5,LaTrobe_CSV-orig_20200102080256.csv,,,,,,2020-01-02 07:45:00
559,123,20200102,80000,20.25,LaTrobe_CSV-orig_20200102081757.csv,15.4,,15.5,10.9,74.0,2020-01-02 08:00:00
135,123,20200102,81500,21.5,LaTrobe_CSV-orig_20200102083457.csv,,,,,,2020-01-02 08:15:00
2425,123,20200102,83000,22.25,LaTrobe_CSV-orig_20200102083457.csv,16.2,,16.6,9.8,64.0,2020-01-02 08:30:00
978,123,20200102,84500,23.5,LaTrobe_CSV-orig_20200102090257.csv,,,,,,2020-01-02 08:45:00
2572,123,20200102,90000,24.25,LaTrobe_CSV-orig_20200102091957.csv,17.3,,18.7,8.7,52.0,2020-01-02 09:00:00
447,123,20200102,91500,25.25,LaTrobe_CSV-orig_20200102091957.csv,,,,,,2020-01-02 09:15:00
960,123,20200102,93000,25.75,LaTrobe_CSV-orig_20200102093457.csv,19.0,,20.1,8.4,47.0,2020-01-02 09:30:00
1101,123,20200102,94500,25.25,LaTrobe_CSV-orig_20200102100157.csv,,,,,,2020-01-02 09:45:00
2244,123,20200102,100000,25.0,LaTrobe_CSV-orig_20200102100157.csv,18.8,,20.7,7.7,43.0,2020-01-02 10:00:00
1978,123,20200102,101500,29.25,LaTrobe_CSV-orig_20200102101857.csv,,,,,,2020-01-02 10:15:00
1064,123,20200102,103000,48.5,LaTrobe_CSV-orig_20200102103457.csv,19.3,,21.7,7.2,39.0,2020-01-02 10:30:00
1273,123,20200102,104500,38.5,LaTrobe_CSV-orig_20200102110557.csv,,,,,,2020-01-02 10:45:00
2601,123,20200102,110000,40.75,LaTrobe_CSV-orig_20200102111757.csv,21.9,,23.4,8.3,38.0,2020-01-02 11:00:00
1239,123,20200102,111500,42.25,LaTrobe_CSV-orig_20200102113258.csv,,,,,,2020-01-02 11:15:00
1086,123,20200102,113000,45.75,LaTrobe_CSV-orig_20200102114957.csv,21.3,,23.9,7.9,36.0,2020-01-02 11:30:00
203,123,20200102,114500,45.5,LaTrobe_CSV-orig_20200102114957.csv,,,,,,2020-01-02 11:45:00
747,123,20200102,120000,45.0,LaTrobe_CSV-orig_20200102120558.csv,21.2,,24.0,11.3,45.0,2020-01-02 12:00:00
2757,123,20200102,121500,48.25,LaTrobe_CSV-orig_20200102123459.csv,,,,,,2020-01-02 12:15:00
2603,123,20200102,123000,46.75,LaTrobe_CSV-orig_20200102124857.csv,21.8,,24.5,10.4,41.0,2020-01-02 12:30:00
272,123,20200102,124500,49.0,LaTrobe_CSV-orig_20200102124857.csv,,,,,,2020-01-02 12:45:00
950,123,20200102,130000,52.0,LaTrobe_CSV-orig_20200102132000.csv,22.3,,24.6,10.5,41.0,2020-01-02 13:00:00
204,123,20200102,131500,51.75,LaTrobe_CSV-orig_20200102133258.csv,,,,,,2020-01-02 13:15:00
2452,123,20200102,133000,52.75,LaTrobe_CSV-orig_20200102134859.csv,22.2,,25.3,10.4,39.0,2020-01-02 13:30:00
208,123,20200102,134500,51.5,LaTrobe_CSV-orig_20200102140258.csv,,,,,,2020-01-02 13:45:00
964,123,20200102,140000,50.5,LaTrobe_CSV-orig_20200102140258.csv,21.7,,24.9,10.0,39.0,2020-01-02 14:00:00
0,123,20200102,141500,50.25,LaTrobe_CSV-orig_20200102143159.csv,,,,,,2020-01-02 14:15:00
338,123,20200102,143000,50.25,LaTrobe_CSV-orig_20200102143159.csv,22.6,,26.0,10.6,38.0,2020-01-02 14:30:00
367,123,20200102,144500,52.5,LaTrobe_CSV-orig_20200102150159.csv,,,,,,2020-01-02 14:45:00
632,123,20200102,150000,52.25,LaTrobe_CSV-orig_20200102150159.csv,23.5,,26.3,10.0,36.0,2020-01-02 15:00:00
1289,123,20200102,151500,51.75,LaTrobe_CSV-orig_20200102152058.csv,,,,,,2020-01-02 15:15:00
1017,123,20200102,153000,54.25,LaTrobe_CSV-orig_20200102153459.csv,23.3,,26.1,9.9,36.0,2020-01-02 15:30:00
2760,123,20200102,154500,54.5,LaTrobe_CSV-orig_20200102160200.csv,,,,,,2020-01-02 15:45:00
2810,123,20200102,160000,53.25,LaTrobe_CSV-orig_20200102161959.csv,24.6,,27.0,10.2,35.0,2020-01-02 16:00:00
2218,123,20200102,161500,53.25,LaTrobe_CSV-orig_20200102161959.csv,,,,,,2020-01-02 16:15:00
781,123,20200102,163000,51.5,LaTrobe_CSV-orig_20200102164759.csv,22.4,,25.9,10.1,37.0,2020-01-02 16:30:00
2052,123,20200102,164500,50.0,LaTrobe_CSV-orig_20200102172058.csv,,,,,,2020-01-02 16:45:00
2313,123,20200102,170000,48.25,LaTrobe_CSV-orig_20200102172058.csv,23.3,,26.0,10.2,37.0,2020-01-02 17:00:00
935,123,20200102,171500,48.0,LaTrobe_CSV-orig_20200102174959.csv,,,,,,2020-01-02 17:15:00
2050,123,20200102,173000,46.5,LaTrobe_CSV-orig_20200102174959.csv,23.7,,26.4,10.5,37.0,2020-01-02 17:30:00
346,123,20200102,174500,45.5,LaTrobe_CSV-orig_20200102180159.csv,,,,,,2020-01-02 17:45:00
2113,123,20200102,180000,44.5,LaTrobe_CSV-orig_20200102181959.csv,23.4,,26.0,10.6,38.0,2020-01-02 18:00:00
2177,123,20200102,181500,43.75,LaTrobe_CSV-orig_20200102183259.csv,,,,,,2020-01-02 18:15:00
2470,123,20200102,183000,43.5,LaTrobe_CSV-orig_20200102183259.csv,21.6,,25.2,9.9,38.0,2020-01-02 18:30:00
380,123,20200102,184500,41.75,LaTrobe_CSV-orig_20200102190400.csv,,,,,,2020-01-02 18:45:00
44,123,20200102,190000,40.25,LaTrobe_CSV-orig_20200102191800.csv,22.3,,24.9,9.2,37.0,2020-01-02 19:00:00
2251,123,20200102,191500,37.0,LaTrobe_CSV-orig_20200102193400.csv,,,,,,2020-01-02 19:15:00
434,123,20200102,193000,34.0,LaTrobe_CSV-orig_20200102194700.csv,21.1,,23.5,8.8,39.0,2020-01-02 19:30:00
5150,123,20200102,194500,33.75,LaTrobe_CSV-orig_20200102200301.csv,,,,,,2020-01-02 19:45:00
630,123,20200102,200000,32.25,LaTrobe_CSV-orig_20200102200301.csv,20.6,,22.8,9.2,42.0,2020-01-02 20:00:00
2495,123,20200102,201500,11.5,LaTrobe_CSV-orig_20200102202001.csv,,,,,,2020-01-02 20:15:00
2788,123,20200102,203000,9.75,LaTrobe_CSV-orig_20200102204800.csv,18.7,,21.3,9.5,47.0,2020-01-02 20:30:00
2786,123,20200102,204500,9.75,LaTrobe_CSV-orig_20200102204800.csv,,,,,,2020-01-02 20:45:00
801,123,20200102,210000,9.75,LaTrobe_CSV-orig_20200102210201.csv,18.5,,20.1,10.2,53.0,2020-01-02 21:00:00
115,123,20200102,211500,9.75,LaTrobe_CSV-orig_20200102213500.csv,,,,,,2020-01-02 21:15:00
368,123,20200102,213000,10.25,LaTrobe_CSV-orig_20200102213500.csv,17.9,,18.9,10.2,57.0,2020-01-02 21:30:00
1226,123,20200102,214500,10.0,LaTrobe_CSV-orig_20200102220601.csv,,,,,,2020-01-02 21:45:00
88,123,20200102,220000,9.75,LaTrobe_CSV-orig_20200102222101.csv,16.8,,18.3,10.4,60.0,2020-01-02 22:00:00
2166,123,20200102,221500,9.75,LaTrobe_CSV-orig_20200102222101.csv,,,,,,2020-01-02 22:15:00
1000,123,20200102,223000,9.75,LaTrobe_CSV-orig_20200102223301.csv,16.1,,17.5,10.9,65.0,2020-01-02 22:30:00
168,123,20200102,224500,10.0,LaTrobe_CSV-orig_20200102230200.csv,,,,,,2020-01-02 22:45:00
275,123,20200102,230000,9.75,LaTrobe_CSV-orig_20200102231901.csv,15.5,,16.7,10.3,66.0,2020-01-02 23:00:00
231,123,20200102,231500,9.5,LaTrobe_CSV-orig_20200102233302.csv,,,,,,2020-01-02 23:15:00
593,123,20200102,233000,9.5,LaTrobe_CSV-orig_20200102234801.csv,15.2,,16.3,10.8,70.0,2020-01-02 23:30:00
2318,123,20200102,234500,9.75,LaTrobe_CSV-orig_20200102234801.csv,,,,,,2020-01-02 23:45:00
1301,123,20200103,0,9.25,LaTrobe_CSV-orig_20200103000552.csv,14.9,,16.0,12.0,77.0,2020-01-03 00:00:00
2502,123,20200103,1500,8.5,LaTrobe_CSV-orig_20200103003352.csv,,,,,,2020-01-03 00:15:00
2405,123,20200103,3000,8.75,LaTrobe_CSV-orig_20200103003352.csv,15.2,,15.8,12.4,80.0,2020-01-03 00:30:00
224,123,20200103,4500,8.75,LaTrobe_CSV-orig_20200103004951.csv,,,,,,2020-01-03 00:45:00
481,123,20200103,10000,9.0,LaTrobe_CSV-orig_20200103010153.csv,14.9,,15.4,12.7,84.0,2020-01-03 01:00:00
563,123,20200103,11500,9.0,LaTrobe_CSV-orig_20200103013151.csv,,,,,,2020-01-03 01:15:00
66,123,20200103,13000,9.0,LaTrobe_CSV-orig_20200103013151.csv,14.9,,15.1,13.1,88.0,2020-01-03 01:30:00
2441,123,20200103,14500,9.25,LaTrobe_CSV-orig_20200103021551.csv,,,,,,2020-01-03 01:45:00
2486,123,20200103,20000,9.25,LaTrobe_CSV-orig_20200103021551.csv,14.7,,14.8,13.3,91.0,2020-01-03 02:00:00
5084,123,20200103,21500,9.5,LaTrobe_CSV-orig_20200103023352.csv,,,,,,2020-01-03 02:15:00
93,123,20200103,23000,9.0,LaTrobe_CSV-orig_20200103023352.csv,14.4,,14.3,13.8,97.0,2020-01-03 02:30:00
752,123,20200103,24500,9.25,LaTrobe_CSV-orig_20200103024808.csv,,,,,,2020-01-03 02:45:00
2043,123,20200103,30000,8.75,LaTrobe_CSV-orig_20200103031257.csv,13.9,,14.0,13.8,99.0,2020-01-03 03:00:00
1061,123,20200103,31500,9.0,LaTrobe_CSV-orig_20200103032957.csv,,,,,,2020-01-03 03:15:00
2035,123,20200103,33000,9.0,LaTrobe_CSV-orig_20200103034658.csv,13.8,,13.8,13.6,99.0,2020-01-03 03:30:00
575,123,20200103,34500,9.5,LaTrobe_CSV-orig_20200103040455.csv,,,,,,2020-01-03 03:45:00
753,123,20200103,40000,10.5,LaTrobe_CSV-orig_20200103041654.csv,13.7,,13.7,13.5,99.0,2020-01-03 04:00:00
2381,123,20200103,41500,10.5,LaTrobe_CSV-orig_20200103043438.csv,,,,,,2020-01-03 04:15:00
2376,123,20200103,43000,10.0,LaTrobe_CSV-orig_20200103044655.csv,14.2,,13.5,13.3,99.0,2020-01-03 04:30:00
2080,123,20200103,44500,10.25,LaTrobe_CSV-orig_20200103052004.csv,,,,,,2020-01-03 04:45:00
5165,123,20200103,50000,10.0,LaTrobe_CSV-orig_20200103052004.csv,14.0,,13.1,12.9,99.0,2020-01-03 05:00:00
1190,123,20200103,51500,16.5,LaTrobe_CSV-orig_20200103052004.csv,,,,,,2020-01-03 05:15:00
572,123,20200103,53000,14.0,LaTrobe_CSV-orig_20200103055006.csv,13.1,,12.4,12.2,99.0,2020-01-03 05:30:00
2309,123,20200103,54500,13.75,LaTrobe_CSV-orig_20200103060504.csv,,,,,,2020-01-03 05:45:00
2263,123,20200103,60000,13.75,LaTrobe_CSV-orig_20200103060504.csv,12.8,,12.1,12.1,100.0,2020-01-03 06:00:00
2367,123,20200103,61500,14.25,LaTrobe_CSV-orig_20200103064904.csv,,,,,,2020-01-03 06:15:00
1019,123,20200103,63000,14.0,LaTrobe_CSV-orig_20200103064904.csv,12.1,,11.6,11.6,100.0,2020-01-03 06:30:00
127,123,20200103,64500,14.5,LaTrobe_CSV-orig_20200103070304.csv,,,,,,2020-01-03 06:45:00
2044,123,20200103,70000,15.5,LaTrobe_CSV-orig_20200103070304.csv,13.4,,12.6,12.4,99.0,2020-01-03 07:00:00
1225,123,20200103,71500,24.75,LaTrobe_CSV-orig_20200103073404.csv,,,,,,2020-01-03 07:15:00
216,123,20200103,73000,18.5,LaTrobe_CSV-orig_20200103074903.csv,14.7,,13.6,13.4,99.0,2020-01-03 07:30:00
2604,123,20200103,74500,20.25,LaTrobe_CSV-orig_20200103074903.csv,,,,,,2020-01-03 07:45:00
1142,123,20200103,80000,19.25,LaTrobe_CSV-orig_20200103081904.csv,15.0,,14.5,12.9,90.0,2020-01-03 08:00:00
757,123,20200103,81500,19.5,LaTrobe_CSV-orig_20200103081904.csv,,,,,,2020-01-03 08:15:00
2596,123,20200103,83000,29.0,LaTrobe_CSV-orig_20200103085006.csv,15.7,,16.2,12.0,76.0,2020-01-03 08:30:00
2323,123,20200103,84500,26.0,LaTrobe_CSV-orig_20200103085006.csv,,,,,,2020-01-03 08:45:00
1171,123,20200103,90000,28.0,LaTrobe_CSV-orig_20200103090504.csv,17.6,,18.0,12.5,70.0,2020-01-03 09:00:00
2208,123,20200103,91500,36.25,LaTrobe_CSV-orig_20200103092105.csv,,,,,,2020-01-03 09:15:00
2610,123,20200103,93000,34.25,LaTrobe_CSV-orig_20200103094905.csv,18.3,,18.6,11.4,63.0,2020-01-03 09:30:00
2053,123,20200103,94500,33.5,LaTrobe_CSV-orig_20200103100204.csv,,,,,,2020-01-03 09:45:00
373,123,20200103,100000,34.5,LaTrobe_CSV-orig_20200103102105.csv,20.0,,20.2,11.9,59.0,2020-01-03 10:00:00
2411,123,20200103,101500,35.0,LaTrobe_CSV-orig_20200103102105.csv,,,,,,2020-01-03 10:15:00
126,123,20200103,103000,36.25,LaTrobe_CSV-orig_20200103104805.csv,19.6,,20.5,11.4,56.0,2020-01-03 10:30:00
1006,123,20200103,104500,37.25,LaTrobe_CSV-orig_20200103110205.csv,,,,,,2020-01-03 10:45:00
513,123,20200103,110000,37.75,LaTrobe_CSV-orig_20200103111705.csv,21.3,,22.1,11.2,50.0,2020-01-03 11:00:00
2103,123,20200103,111500,37.0,LaTrobe_CSV-orig_20200103113206.csv,,,,,,2020-01-03 11:15:00
307,123,20200103,113000,40.75,LaTrobe_CSV-orig_20200103115006.csv,22.3,,23.2,11.3,47.0,2020-01-03 11:30:00
496,123,20200103,114500,45.75,LaTrobe_CSV-orig_20200103115006.csv,,,,,,2020-01-03 11:45:00
727,123,20200103,120000,43.75,LaTrobe_CSV-orig_20200103121805.csv,23.5,,24.6,10.8,42.0,2020-01-03 12:00:00
2192,123,20200103,121500,45.5,LaTrobe_CSV-orig_20200103123205.csv,,,,,,2020-01-03 12:15:00
616,123,20200103,123000,47.5,LaTrobe_CSV-orig_20200103123205.csv,24.4,,26.6,9.5,34.0,2020-01-03 12:30:00
2034,123,20200103,124500,48.75,LaTrobe_CSV-orig_20200103130205.csv,,,,,,2020-01-03 12:45:00
2351,123,20200103,130000,49.0,LaTrobe_CSV-orig_20200103130205.csv,26.7,,28.1,9.4,31.0,2020-01-03 13:00:00
2509,123,20200103,131500,51.5,LaTrobe_CSV-orig_20200103132105.csv,,,,,,2020-01-03 13:15:00
489,123,20200103,133000,53.0,LaTrobe_CSV-orig_20200103135005.csv,27.7,,29.7,8.7,27.0,2020-01-03 13:30:00
1196,123,20200103,134500,53.5,LaTrobe_CSV-orig_20200103135005.csv,,,,,,2020-01-03 13:45:00
2549,123,20200103,140000,53.5,LaTrobe_CSV-orig_20200103141905.csv,30.7,,31.9,9.4,25.0,2020-01-03 14:00:00
5088,123,20200103,141500,56.25,LaTrobe_CSV-orig_20200103141905.csv,,,,,,2020-01-03 14:15:00
2407,123,20200103,143000,57.25,LaTrobe_CSV-orig_20200103145005.csv,30.7,,32.6,7.4,21.0,2020-01-03 14:30:00
102,123,20200103,144500,58.75,LaTrobe_CSV-orig_20200103145005.csv,,,,,,2020-01-03 14:45:00
2108,123,20200103,150000,60.5,LaTrobe_CSV-orig_20200103150307.csv,32.3,,34.7,4.3,15.0,2020-01-03 15:00:00
1219,123,20200103,151500,63.25,LaTrobe_CSV-orig_20200103153406.csv,,,,,,2020-01-03 15:15:00
358,123,20200103,153000,65.0,LaTrobe_CSV-orig_20200103153406.csv,31.0,,33.9,2.7,14.0,2020-01-03 15:30:00
386,123,20200103,154500,61.75,LaTrobe_CSV-orig_20200103160305.csv,,,,,,2020-01-03 15:45:00
737,123,20200103,160000,66.0,LaTrobe_CSV-orig_20200103160305.csv,31.6,,35.2,0.3,11.0,2020-01-03 16:00:00
5093,123,20200103,161500,66.25,LaTrobe_CSV-orig_20200103161906.csv,,,,,,2020-01-03 16:15:00
53,123,20200103,163000,67.25,LaTrobe_CSV-orig_20200103164906.csv,32.1,,35.9,-0.5,10.0,2020-01-03 16:30:00
134,123,20200103,164500,67.25,LaTrobe_CSV-orig_20200103164906.csv,,,,,,2020-01-03 16:45:00
423,123,20200103,170000,66.5,LaTrobe_CSV-orig_20200103170206.csv,33.9,,36.8,-1.2,9.0,2020-01-03 17:00:00
2009,123,20200103,171500,63.75,LaTrobe_CSV-orig_20200103173406.csv,,,,,,2020-01-03 17:15:00
256,123,20200103,173000,64.5,LaTrobe_CSV-orig_20200103180606.csv,32.2,,36.1,1.0,11.0,2020-01-03 17:30:00
100,123,20200103,174500,65.25,LaTrobe_CSV-orig_20200103180606.csv,,,,,,2020-01-03 17:45:00
1015,123,20200103,180000,65.0,LaTrobe_CSV-orig_20200103180606.csv,32.0,,35.9,3.2,13.0,2020-01-03 18:00:00
2004,123,20200103,181500,63.75,LaTrobe_CSV-orig_20200103183507.csv,,,,,,2020-01-03 18:15:00
977,123,20200103,183000,61.75,LaTrobe_CSV-orig_20200103185010.csv,32.7,,36.2,5.5,15.0,2020-01-03 18:30:00
217,123,20200103,184500,59.5,LaTrobe_CSV-orig_20200103185010.csv,,,,,,2020-01-03 18:45:00
2151,123,20200103,190000,60.25,LaTrobe_CSV-orig_20200103191908.csv,33.4,,36.1,5.4,15.0,2020-01-03 19:00:00
1,123,20200103,191500,59.25,LaTrobe_CSV-orig_20200103191908.csv,,,,,,2020-01-03 19:15:00
2320,123,20200103,193000,58.75,LaTrobe_CSV-orig_20200103193507.csv,33.1,,35.2,5.6,16.0,2020-01-03 19:30:00
969,123,20200103,194500,57.0,LaTrobe_CSV-orig_20200103200307.csv,,,,,,2020-01-03 19:45:00
2137,123,20200103,200000,54.25,LaTrobe_CSV-orig_20200103202107.csv,32.8,,35.1,0.2,11.0,2020-01-03 20:00:00
207,123,20200103,201500,18.0,LaTrobe_CSV-orig_20200103202107.csv,,,,,,2020-01-03 20:15:00
1029,123,20200103,203000,10.25,LaTrobe_CSV-orig_20200103204807.csv,32.2,,33.3,5.0,17.0,2020-01-03 20:30:00
621,123,20200103,204500,10.25,LaTrobe_CSV-orig_20200103210209.csv,,,,,,2020-01-03 20:45:00
2022,123,20200103,210000,10.5,LaTrobe_CSV-orig_20200103211708.csv,29.2,,30.8,7.9,24.0,2020-01-03 21:00:00
1009,123,20200103,211500,10.25,LaTrobe_CSV-orig_20200103213408.csv,,,,,,2020-01-03 21:15:00
5172,123,20200103,213000,10.75,LaTrobe_CSV-orig_20200103215008.csv,29.3,,30.0,10.0,29.0,2020-01-03 21:30:00
2840,123,20200103,214500,11.0,LaTrobe_CSV-orig_20200103215008.csv,,,,,,2020-01-03 21:45:00
2079,123,20200103,220000,11.0,LaTrobe_CSV-orig_20200103223307.csv,27.9,,28.4,12.7,38.0,2020-01-03 22:00:00
2762,123,20200103,221500,10.5,LaTrobe_CSV-orig_20200103223307.csv,,,,,,2020-01-03 22:15:00
611,123,20200103,223000,10.0,LaTrobe_CSV-orig_20200103223307.csv,28.3,,27.4,14.1,44.0,2020-01-03 22:30:00
312,123,20200103,224500,10.0,LaTrobe_CSV-orig_20200103224907.csv,,,,,,2020-01-03 22:45:00
2525,123,20200103,230000,10.25,LaTrobe_CSV-orig_20200103231908.csv,26.8,,26.1,12.2,42.0,2020-01-03 23:00:00
2340,123,20200103,231500,9.0,LaTrobe_CSV-orig_20200103231908.csv,,,,,,2020-01-03 23:15:00
122,123,20200103,233000,8.5,LaTrobe_CSV-orig_20200104000451.csv,24.8,,25.9,10.1,37.0,2020-01-03 23:30:00
1288,123,20200103,234500,9.25,LaTrobe_CSV-orig_20200104000451.csv,,,,,,2020-01-03 23:45:00
296,123,20200104,0,9.5,LaTrobe_CSV-orig_20200104001951.csv,22.8,,24.3,10.6,42.0,2020-01-04 00:00:00
945,123,20200104,1500,9.25,LaTrobe_CSV-orig_20200104003151.csv,,,,,,2020-01-04 00:15:00
2374,123,20200104,3000,9.25,LaTrobe_CSV-orig_20200104003151.csv,21.8,,22.9,10.7,46.0,2020-01-04 00:30:00
672,123,20200104,4500,9.0,LaTrobe_CSV-orig_20200104010452.csv,,,,,,2020-01-04 00:45:00
661,123,20200104,10000,8.75,LaTrobe_CSV-orig_20200104011751.csv,19.3,,21.8,8.3,42.0,2020-01-04 01:00:00
130,123,20200104,11500,8.75,LaTrobe_CSV-orig_20200104011751.csv,,,,,,2020-01-04 01:15:00
2247,123,20200104,13000,9.0,LaTrobe_CSV-orig_20200104013351.csv,19.2,,21.2,7.1,40.0,2020-01-04 01:30:00
164,123,20200104,14500,8.75,LaTrobe_CSV-orig_20200104014755.csv,,,,,,2020-01-04 01:45:00
843,123,20200104,20000,8.5,LaTrobe_CSV-orig_20200104022951.csv,18.0,,20.6,6.2,39.0,2020-01-04 02:00:00
1012,123,20200104,21500,8.75,LaTrobe_CSV-orig_20200104022951.csv,,,,,,2020-01-04 02:15:00
432,123,20200104,23000,8.75,LaTrobe_CSV-orig_20200104024708.csv,17.6,,20.1,6.5,41.0,2020-01-04 02:30:00
319,123,20200104,24500,8.5,LaTrobe_CSV-orig_20200104032155.csv,,,,,,2020-01-04 02:45:00
17,123,20200104,30000,8.5,LaTrobe_CSV-orig_20200104032155.csv,17.8,,20.4,7.7,44.0,2020-01-04 03:00:00
2346,123,20200104,31500,8.75,LaTrobe_CSV-orig_20200104032155.csv,,,,,,2020-01-04 03:15:00
2269,123,20200104,33000,8.5,LaTrobe_CSV-orig_20200104033557.csv,16.9,,19.9,7.9,46.0,2020-01-04 03:30:00
459,123,20200104,34500,9.0,LaTrobe_CSV-orig_20200104034858.csv,,,,,,2020-01-04 03:45:00
188,123,20200104,40000,9.5,LaTrobe_CSV-orig_20200104041257.csv,16.4,,19.3,8.0,48.0,2020-01-04 04:00:00
2279,123,20200104,41500,10.25,LaTrobe_CSV-orig_20200104043319.csv,,,,,,2020-01-04 04:15:00
323,123,20200104,43000,10.0,LaTrobe_CSV-orig_20200104044858.csv,16.1,,19.0,8.1,49.0,2020-01-04 04:30:00
2217,123,20200104,44500,10.5,LaTrobe_CSV-orig_20200104051855.csv,,,,,,2020-01-04 04:45:00
243,123,20200104,50000,9.75,LaTrobe_CSV-orig_20200104051855.csv,16.3,,18.8,8.2,50.0,2020-01-04 05:00:00
756,123,20200104,51500,9.5,LaTrobe_CSV-orig_20200104051855.csv,,,,,,2020-01-04 05:15:00
2062,123,20200104,53000,9.75,LaTrobe_CSV-orig_20200104054957.csv,16.0,,17.7,5.9,46.0,2020-01-04 05:30:00
1169,123,20200104,54500,10.0,LaTrobe_CSV-orig_20200104054957.csv,,,,,,2020-01-04 05:45:00
2333,123,20200104,60000,10.0,LaTrobe_CSV-orig_20200104060457.csv,15.9,,18.2,7.3,49.0,2020-01-04 06:00:00
2826,123,20200104,61500,10.0,LaTrobe_CSV-orig_20200104062056.csv,,,,,,2020-01-04 06:15:00
2190,123,20200104,63000,9.75,LaTrobe_CSV-orig_20200104064957.csv,14.2,,17.0,6.8,51.0,2020-01-04 06:30:00
512,123,20200104,64500,9.0,LaTrobe_CSV-orig_20200104064957.csv,,,,,,2020-01-04 06:45:00
158,123,20200104,70000,9.5,LaTrobe_CSV-orig_20200104070257.csv,19.1,,21.3,6.0,37.0,2020-01-04 07:00:00
953,123,20200104,71500,8.75,LaTrobe_CSV-orig_20200104072056.csv,,,,,,2020-01-04 07:15:00
