MeterKey,DateKey,TimeKey,MeterReading,Source,ApparentTemperature,IsSuspicious,AirTemperature,DewPointTemperature,RelativeHumidity
123,20200107,84500,NULL,LaTrobe_CSV-orig_20200107092047.csv,NULL,NULL,NULL,NULL,NULL
123,20200113,100000,31.00000,LaTrobe_CSV-orig_20200113101655.csv,21.00000,NULL,19.7,14.1,70
123,20200314,203000,9.25000,LaTrobe_CSV-orig_20200315080256.csv,10.30000,NULL,13.5,6.8,64
123,20200112,234500,9.50000,LaTrobe_CSV-orig_20200112235002.csv,NULL,NULL,NULL,NULL,NULL
123,20200115,153000,74.00000,LaTrobe_CSV-orig_20200115153559.csv,35.00000,NULL,36.9,13,24
123,20200113,33000,8.25000,LaTrobe_CSV-orig_20200113034854.csv,12.20000,NULL,12,11.8,99
123,20200117,114500,41.00000,LaTrobe_CSV-orig_20200117114902.csv,NULL,NULL,NULL,NULL,NULL
123,20200112,11500,9.50000,LaTrobe_CSV-orig_20200112011951.csv,NULL,NULL,NULL,NULL,NULL
123,20200116,54500,21.50000,LaTrobe_CSV-orig_20200116060256.csv,NULL,NULL,NULL,NULL,NULL
123,20200110,43000,25.75000,LaTrobe_CSV-orig_20200110053254.csv,22.40000,NULL,22.3,13.9,59
123,20200106,120000,NULL,LaTrobe_CSV-orig_20200107092047.csv,14.60000,NULL,14.4,14.1,98
123,20200103,13000,9.00000,LaTrobe_CSV-orig_20200103013151.csv,14.90000,NULL,15.1,13.1,88
123,20200106,193000,NULL,LaTrobe_CSV-orig_20200107092047.csv,16.80000,NULL,15.1,15.1,100
123,20200112,130000,7.75000,LaTrobe_CSV-orig_20200112174705.csv,16.70000,NULL,19.3,9.2,52
123,20200114,193000,17.25000,LaTrobe_CSV-orig_20200114193257.csv,29.70000,NULL,32,11.7,28
123,20200118,180000,8.75000,LaTrobe_CSV-orig_20200118180358.csv,27.10000,NULL,27,16.6,53
123,20200117,131500,45.50000,LaTrobe_CSV-orig_20200117131803.csv,NULL,NULL,NULL,NULL,NULL
123,20200111,110000,10.50000,LaTrobe_CSV-orig_20200111114958.csv,12.00000,NULL,16.1,7.8,58
123,20200116,81500,19.75000,LaTrobe_CSV-orig_20200116081856.csv,NULL,NULL,NULL,NULL,NULL
123,20200110,234500,8.25000,LaTrobe_CSV-orig_20200111000549.csv,NULL,NULL,NULL,NULL,NULL
